T (K) ↑,T (°C),Ρ (KG/M³),CP (KJ/KG·K),Μ×10⁻⁵ (KG/M·S),Ν×10⁻⁶ (M²/S),K×10⁻³ (W/M·K),PR,Α×10⁻⁵ (M²/S)
200,-73,1.7458,1.007,1.329,7.61,18.1,0.737,1.033
220,-53,1.5874,1.007,1.453,9.148,19.89,0.728,1.123
240,-33,1.4533,1.007,1.574,10.83,21.55,0.721,1.235
250,-23,1.3947,1.006,1.632,11.7,22.3,0.716,1.288
260,-13,1.3416,1.006,1.69,12.6,23.04,0.712,1.345
270,-3,1.2931,1.006,1.747,13.51,23.77,0.709,1.403
280,7,1.2484,1.006,1.803,14.44,24.5,0.706,1.461
290,17,1.2073,1.006,1.857,15.38,25.2,0.703,1.52
300,27,1.1614,1.007,1.846,15.89,26.3,0.707,2.216
310,37,1.1233,1.007,1.962,17.46,26.37,0.701,1.64
320,47,1.0883,1.008,2.016,18.52,27.09,0.7,1.7
330,57,1.0561,1.008,2.068,19.58,27.81,0.7,1.756
340,67,1.0258,1.009,2.119,20.65,28.51,0.699,1.82
350,77,0.995,1.009,2.169,21.8,29.2,0.697,1.883
360,87,0.9699,1.01,2.218,22.86,29.89,0.695,1.945
370,97,0.9435,1.01,2.266,24.02,30.57,0.694,2.006
380,107,0.9181,1.012,2.314,25.19,31.25,0.692,2.074
390,117,0.8937,1.013,2.362,26.43,31.92,0.69,2.138
400,127,0.8711,1.014,2.408,27.64,32.58,0.689,2.206
420,147,0.8301,1.017,2.499,30.1,33.9,0.687,2.337
440,167,0.7922,1.019,2.588,32.66,35.2,0.686,2.47
460,187,0.7571,1.021,2.675,35.32,36.48,0.685,2.605
480,207,0.724,1.024,2.76,38.13,37.74,0.684,2.742
500,227,0.6938,1.03,2.841,40.95,38.99,0.683,2.883
550,277,0.6307,1.04,3.043,48.23,41.91,0.68,3.244
600,327,0.5778,1.051,3.232,55.93,44.74,0.68,3.609
650,377,0.5332,1.063,3.415,64.06,47.48,0.682,4.014
700,427,0.4934,1.075,3.591,72.81,50.16,0.684,4.417
750,477,0.46,1.087,3.763,81.81,52.75,0.687,4.832
800,527,0.4305,1.099,3.928,91.26,55.29,0.69,5.275
850,577,0.4045,1.11,4.09,101.1,57.73,0.693,5.725
900,627,0.3817,1.121,4.25,111.3,60.12,0.696,6.179
950,677,0.3611,1.131,4.404,121.9,62.47,0.699,6.659
1000,727,0.3432,1.141,4.56,132.9,64.73,0.702,7.122
1100,827,0.3116,1.159,4.857,155.8,69.17,0.708,8.116
1200,927,0.2851,1.175,5.147,180.6,73.53,0.714,9.185
1300,1027,0.2628,1.189,5.426,206.5,77.92,0.72,10.18
1400,1127,0.2438,1.207,5.697,233.7,82.35,0.725,11.3
1500,1227,0.2278,1.225,5.961,261.7,86.88,0.728,12.35
1600,1327,0.2133,1.241,6.214,291.5,91.27,0.733,13.44
1800,1527,0.189,1.27,6.7,354.7,99.88,0.74,15.73
2000,1727,0.1706,1.296,7.16,419.8,108.4,0.745,18.06
